,places,doc_id
585,Boligforeningen Ring-gaarden,416
586,Zoologisk Have,417
587,Zoologisk Have,417
588,Kasino,419
589,Odensegade 15,420
590,"Sdr. Ringgade 49 ...............9600""00""",420
591,C. Adelersgade,420
592,H.Pontoppidansgade 26 .,420
593,"Samsøgade 29...............1200""00""
fhv.",420
594,"I.Huitfeidtsgade 7 .......1200""00""",420
595,"Brammersgade 60............1170""00""",420
596,"Bülowsgade 58................1093""20""",420
597,Falstersgade 33 A,420
598,"Taarbækvej 4...............850""00""",420
599,"Holbergsgade 37............700""00""",420
600,"Schleppegreilsgade17....350""00""
",421
601,"Lollandsgade 72......................6609""50""",421
602,H. Guldbergsgade,421
603,Aarhus Kommune,428
604,Rutebilstationen Amtmandstoften,428
605,Aarhus,428
606,Sønderalle,428
607,Fredensgade,428
608,Banegaardsgade,428
609,Aarhus-Aabyhøj,428
610,Aarhus-Vejlby,428
611,Flyvepladsen,433
612,Byens,435
613,Byens,435
614,Krematoriet,436
615,Flyvepladsen,437
616,Ejendommen,438
617,Matr. Nr. 113 aa af Markj. i 2 Parceller,438
618,Statsbanerne,440
619,Hammelbanen,440
620,Aarhus-Silkeborg,440
621,Viby,441
622,Aarhus-Viby,441
623,Tved,446
624,Fjellerup,448
625,Fjellerup-Aarhus,448
626,Skovvangsvej,449
627,Aarhus,449
628,Instituttets Bygning,451
629,København,452
630,Stationen,452
631,Aarhus,453
632,København,453
633,Marselisborg Studentergaard,454
634,Aarhus Søret,456
635,Søen,456
636,Odensegade,460
637,Strandvejen,461
638,Filtenborgs Plads,461
639,Skoven,461
640,Valdemarsgade,463
641,Frederiksallé,463
642,Valdemarsgade,463
643,"Frederiksallé
",463
644,Zoologisk Have,465
645,"Byens Udv. og
Bebyggelse",471
646,Aarhus,471
647,Vandværket,472
648,Aarhus,472
649,Sporvejene,473
650,Vandværket,473
651,Aarhus,474
652,Flyvepladsen,476
653,Aarhus,477
654,Fjor,477
655,Fjor,477
656,Jylland,477
657,Flyvepladsen,478
